"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:821::200a","UDP","91","53376  >  443 Len=29"
"2","0.018037","2607:f8b0:4006:821::200a","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  53376 Len=29"
"3","0.231334","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:821::200a","UDP","91","53376  >  443 Len=29"
"4","0.251228","2607:f8b0:4006:821::200a","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  53376 Len=29"
"5","0.383668","10.0.0.14","224.0.0.251","MDNS","87","Standard query 0x0000 PTR 133.151.190.20.in-addr.arpa, ""QM"" question"
"6","0.383668","10.0.0.14","224.0.0.251","MDNS","87","Standard query 0x0000 PTR 133.151.190.20.in-addr.arpa, ""QM"" question"
"7","0.383668","fe80::34f3:1686:7a3f:f685","ff02::fb","MDNS","107","Standard query 0x0000 PTR 133.151.190.20.in-addr.arpa, ""QM"" question"
"8","0.383668","fe80::34f3:1686:7a3f:f685","ff02::fb","MDNS","107","Standard query 0x0000 PTR 133.151.190.20.in-addr.arpa, ""QM"" question"
"9","0.470597","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:821::200a","UDP","91","53376  >  443 Len=29"
"10","0.525710","2607:f8b0:4006:821::200a","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  53376 Len=29"
"11","0.733741","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:821::200a","UDP","91","53376  >  443 Len=29"
"12","0.750879","2607:f8b0:4006:821::200a","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  53376 Len=29"
"13","1.067111","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:81d::200e","UDP","91","54553  >  443 Len=29"
"14","1.093624","2607:f8b0:4006:81d::200e","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  54553 Len=29"
"15","1.178948","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:821::200a","UDP","91","53376  >  443 Len=29"
"16","1.198797","2607:f8b0:4006:821::200a","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  53376 Len=29"
"17","2.016427","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2607:f8b0:4006:821::200a","UDP","91","53376  >  443 Len=29"
"18","2.031797","2607:f8b0:4006:821::200a","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","UDP","91","443  >  53376 Len=29"
"19","2.124684","fe80::82da:c2ff:feca:2462","ff02::1","ICMPv6","198","Router Advertisement from 80:da:c2:ca:24:62"
"20","2.128463","2601:86:300:8ac0:74ac:ebc1:e4fc:477e","2a00:86c0:126:126::153","TLSv1.2","1145","Application Data"
